Brand_name,Brand_url,Brand_Introduction,Brand_Price,Brand_Version
Dr.Jart+,https://www.sephora.com/product/superheroes-skin-transformers-P436128?icid2=products%20grid:p436128:product,Superheroes Skin Transformers,$52.00 ,Limited Edition
Anastasia Beverly Hills,https://www.sephora.com/product/soft-glam-eyeshadow-palette-P58930227?icid2=products%20grid:p58930227:product,Soft Glam Eyeshadow Palette,$42.00 ,
Beautyblender,https://www.sephora.com/product/sweet-indulgence-beauty-sampler-set-P436401?icid2=products%20grid:p436401:product,Sweet Indulgence Set,$65.00 ,Limited Edition
Algenist,https://www.sephora.com/product/secrets-algae-kit-P436142?icid2=products%20grid:p436142:product,Secrets of Algae Kit,$115.00 ,Limited Edition
Fresh,https://www.sephora.com/product/sky-high-dration-P436350?icid2=products%20grid:p436350:product,Sky High-dration,$65.00 ,Limited Edition
FENTY BEAUTY by Rihanna,https://www.sephora.com/product/match-stix-trio-P44543278?icid2=products%20grid:p44543278:product,Match Stix Trio,$54.00 ,Exclusive
dyson,https://www.sephora.com/product/blown-a-ouai-noir-set-P436409?icid2=products%20grid:p436409:product,Blown-A-OUAI Noir Set,$399.00 ,LimitedEdition
Fresh,https://www.sephora.com/product/destination-sugar-P436352?icid2=products%20grid:p436352:product,Destination Sugar,$25.00 ,Limited Edition
Drybar,https://www.sephora.com/product/big-crushin-smoothing-styling-bundle-P434225?icid2=products%20grid:p434225:product,The Big Crushin¡¯ Smoothing + Styling Bundle,$299.00 ,Limited Edition
Tatcha,https://www.sephora.com/product/bestsellers-set-P420977?icid2=products%20grid:p420977:product,Bestsellers Set,$60.00 ,Limited Edition
BECCA,https://www.sephora.com/product/shimmering-skin-perfector-pressed-highlighter-mini-macaron-set-P435423?icid2=products%20grid:p435423:product,Shimmering Skin Perfector? Pressed Highlighter Mini Macaron Set,$40.00 ,Limited Edition
Living proof,https://www.sephora.com/product/perfect-hair-day-jumbo-set-P435940?icid2=products%20grid:p435940:product,Perfect Hair Day Jumbo Set,$79.00 ,LimitedEdition
NARS,https://www.sephora.com/product/orgasm-infatuation-palette-P436257?icid2=products%20grid:p436257:product,Orgasm Infatuation Palette,$42.00 ,Limited Edition
OLEHENRIKSEN,https://www.sephora.com/product/glow-brightly-P436910?icid2=products%20grid:p436910:product,Glow Brightly? - Radiance-Boosting Super Set,$49.00 ,Limited Edition
Kiehl's Since 1851,https://www.sephora.com/product/bright-delights-P436126?icid2=products%20grid:p436126:product,Bright Delights,$49.00 ,Limited Edition
Glow Recipe,https://www.sephora.com/product/watermelon-holiday-set-P436693?icid2=products%20grid:p436693:product,Limited Edition Watermelon Jelly Tote Set,$40.00 ,Limited Edition
Benefit Cosmetics,https://www.sephora.com/product/sweeten-up-buttercup-makeup-set-P436400?icid2=products%20grid:p436400:product,"Sweeten Up, Buttercup! Makeup Set",$39.00 ,Limited Edition
Urbandecay,https://www.sephora.com/product/double-dose-eyeshadow-primer-potion-P436036?icid2=products%20grid:p436036:product,Double Dose Eyeshadow Primer Potion,$28.00 ,Limited Edition
ALTERNA Haircare,https://www.sephora.com/product/caviar-anti-aging-r-replenishing-moisture-jumbo-kit-P436725?icid2=products%20grid:p436725:product,CAVIAR Anti-Aging? Replenishing Moisture Jumbo Kit,$99.00 ,Limited Edition
Fresh,https://www.sephora.com/product/mask-for-miles-P436357?icid2=products%20grid:p436357:product,Mask for Miles,$75.00 ,Limited Edition
Sephora Favorites,https://www.sephora.com/product/lashstash-to-go-P437095?icid2=products%20grid:p437095:product,Lashstash To Go,$28.00 ,Limited Edition
Tatcha,https://www.sephora.com/product/pore-perfecting-moisturizer-cleanser-duo-P428418?icid2=products%20grid:p428418:product,Pore-Perfecting Moisturizer & Cleanser Duo,$25.00 ,Limited Edition
beautyblender,https://www.sephora.com/product/sweet-surprise-mystery-blind-bag-P436421?icid2=products%20grid:p436421:product,Sweet Surprise Mystery Blind Bag,$20.00 ,
Bite Beauty,https://www.sephora.com/product/sweet-treats-agave-lip-care-set-P436865?icid2=products%20grid:p436865:product,Sweet Treats Agave Lip Care Set,$12.00 ,Limited Edition
Dr. Jart+,https://www.sephora.com/product/mask-heroes-face-savers-P436125?icid2=products%20grid:p436125:product,Mask Heroes Face Savers,$36.00 ,Limited Edition
Sephora Favorites,https://www.sephora.com/product/glow-for-it-P436326?icid2=products%20grid:p436326:product,Glow For It,$28.00 ,
Miu Miu,https://www.sephora.com/product/l-eau-rosee-mini-gift-set-P437401?icid2=products%20grid:p437401:product,L'eau Rosee Mini Gift Set,$28.00 ,Limited Edition
Bite Beauty,https://www.sephora.com/product/agave-treat-trio-mini-agave-lip-mask-set-P436407?icid2=products%20grid:p436407:product,Agave Treat Trio Mini Agave Lip Mask Set,$18.00 ,Limited edition
huda beauty,https://www.sephora.com/product/desert-dusk-eyeshadow-palette-P424149?icid2=products%20grid:p424149:product,Desert Dusk Eyeshadow Palette,$65.00 ,exclusive
Sephora Favorites,https://www.sephora.com/product/best-hair-ever-P436721?icid2=products%20grid:p436721:product,Best Hair Ever,$25.00 ,Limited Edition
