Brand_name,Brand_url,Brand_Introduction,Brand_Price,Brand_Version
Buxom,https://www.sephora.com/product/full-on-fantasy-mini-lip-plumping-set-P435816?icid2=products%20grid:p435816:product,Full-On Fantasy Mini Lip Plumping Set,$44.00 ,Limited Edition
bareMinerals,https://www.sephora.com/product/experience-barepro-liquid-foundation-kit-P433988?icid2=products%20grid:p433988:product,Experience Barepro Liquid Foundation Kit,$39.00 ,
Biossance,https://www.sephora.com/product/love-your-face-P437251?icid2=products%20grid:p437251:product,Love Your Face,$42.00 ,Limited Edition
Est¨¦e Lauder,https://www.sephora.com/product/revitalize-glow-for-firmer-youthful-looking-skin-P436888?icid2=products%20grid:p436888:product,"Revitalize + Glow for Firmer, Youthful-Looking Skin",$88.00 ,Limited Edition
Moroccanoil,https://www.sephora.com/product/ultimate-moisture-favorites-P436713?icid2=products%20grid:p436713:product,Ultimate Moisture Favorites,$48.00 ,Limited Edition
Sephora Favorites,https://www.sephora.com/product/party-hair-styling-spray-collection-P436720?icid2=products%20grid:p436720:product,Party Hair Styling Spray Collection,$35.00 ,Limited Edition
Dr. Dennis Gross Skincare,https://www.sephora.com/product/c-me-sparkle-P437470?icid2=products%20grid:p437470:product,C Me Sparkle,$78.00 ,Limited Edition
Caudalie,https://www.sephora.com/product/caudalie-beauty-secrets-P437258?icid2=products%20grid:p437258:product,Caudalie Beauty Secrets,$49.00 ,Limited Edition
Drybar,https://www.sephora.com/product/full-size-faves-P436074?icid2=products%20grid:p436074:product,Full Size Faves,$49.00 ,Limited Edition
huda beauty,https://www.sephora.com/product/3d-highlighter-palette-P67880151?icid2=products%20grid:p67880151:product,3D Highlighter Palette,$45.00 ,exclusive
Benefit Cosmetics,https://www.sephora.com/product/soft-natural-brow-kit-P410753?icid2=products%20grid:p410753:product,Soft & Natural Brow Kit,$34.00 ,
Josie Maran,https://www.sephora.com/product/be-love-give-love-argan-firm-nourish-power-duo-P436361?icid2=products%20grid:p436361:product,"Be Love, Give Love Argan Firm + Nourish Power Duo",$52.00 ,Limited Edition
Viktor&Rolf,https://www.sephora.com/product/flowerbomb-gift-set-P429714?icid2=products%20grid:p429714:product,Flowerbomb Gift Set,$125.00 ,Limited Edition
Laura Mercier,https://www.sephora.com/product/custom-setting-matte-glow-translucent-loose-setting-powder-duo-P436030?icid2=products%20grid:p436030:product,Custom Setting Matte & Glow Translucent Loose Setting Powder Duo,$38.00 ,Limited Edition
Benefit Cosmetics,https://www.sephora.com/product/hoola-bronzed-n-sculpted-set-P420622?icid2=products%20grid:p420622:product,Hoola Bronzed 'N' Sculpted Mini Set,$17.00 ,Online Only
Bio Ionic,https://www.sephora.com/product/glam-on-go-P437461?icid2=products%20grid:p437461:product,Glam on the Go,$230.00 ,Limited Edition
COVER FX,https://www.sephora.com/product/glam-glow-liquid-lights-set-P436399?icid2=products%20grid:p436399:product,Glam & Glow Liquid Lights Set,$42.00 ,Limited Edition
Anastasia Beverly Hills,https://www.sephora.com/product/contour-kit-P386335?icid2=products%20grid:p386335:product,Contour Kit,$40.00 ,
Natasha Denona,https://www.sephora.com/product/eyeshadow-palette-28-P411835?icid2=products%20grid:p411835:product,Eyeshadow Palette 28,$239.00 ,
Smashbox,https://www.sephora.com/product/cali-contour-palette-P429909?icid2=products%20grid:p429909:product,Cali Contour Palette,$39.00 ,
Shiseido,https://www.sephora.com/product/benefiance-eye-bundle-P433615?icid2=products%20grid:p433615:product,Benefiance Eye Bundle,$60.00 ,Limited Edition
Est¨¦e Lauder,https://www.sephora.com/product/protect-hydrate-keep-glowing-with-powerful-protection-24-hour-hydration-P436887?icid2=products%20grid:p436887:product,Protect + Hydrate Keep Glowing with Powerful Protection and 24-Hour Hydration,$35.00 ,Limited Edition
Sephora Favorites,https://www.sephora.com/product/perfume-sampler-P426358?icid2=products%20grid:p426358:product,Perfume Sampler,$65.00 ,Limited Edition
L'Occitane,https://www.sephora.com/product/holiday-almond-ornament-P437480?icid2=products%20grid:p437480:product,Holiday Almond Ornament,$14.00 ,Limited Edition
Verb,https://www.sephora.com/product/hydrate-kit-smooth-restore-P436065?icid2=products%20grid:p436065:product,Hydrate Kit: Smooth + Restore,$48.00 ,Limited Edition
Anastasia Beverly Hills,https://www.sephora.com/product/lip-palette-P417271?icid2=products%20grid:p417271:product,Lip Palette,$48.00 ,Limited Edition
Violet Voss,https://www.sephora.com/product/flamingo-pro-eye-shadow-palette-P433200?icid2=products%20grid:p433200:product,Flamingo PRO Eyeshadow Palette,$45.00 ,Limited Edition
Yves Saint Laurent,https://www.sephora.com/product/black-opium-cracker-gift-set-P437223?icid2=products%20grid:p437223:product,Black Opium Cracker Gift Set,$32.00 ,Limited Edition
Velour Lashes,https://www.sephora.com/product/velour-silk-lash-holiday-set-P436275?icid2=products%20grid:p436275:product,Silk Lash Holiday Travel Case Set,$39.00 ,Limited Edition
GLAMGLOW,https://www.sephora.com/product/the-superstar-set-P436084?icid2=products%20grid:p436084:product,The Superstar Set,$59.00 ,Limited Edition
tarte,https://www.sephora.com/product/mermaid-staycation-P436688?icid2=products%20grid:p436688:product,Mermaid Staycation,$32.00 ,Limited Edition
Glamglow,https://www.sephora.com/product/paint-town-set-P436106?icid2=products%20grid:p436106:product,Paint the Town Set,$89.00 ,Limited Edition
FENTY BEAUTY by Rihanna,https://www.sephora.com/product/lil-match-stix-duo-mini-shimmer-skinstick-set-P44913784?icid2=products%20grid:p44913784:product,Lil Match Stix Duo Mini Shimmer Skinstick Set,$22.00 ,Limited Edition
tarte,https://www.sephora.com/product/foil-finger-paint-shadow-palette-P425208?icid2=products%20grid:p425208:product,Foil Finger Paints Shadow Palette - Rainforest of the Sea? Collection,$39.00 ,Limited Edition
Fresh,https://www.sephora.com/product/frequent-flyer-P436356?icid2=products%20grid:p436356:product,Frequent Flyer,$19.50 ,Limited Edition
Natasha Denona,https://www.sephora.com/product/lila-eyeshadow-palette-P421738?icid2=products%20grid:p421738:product,Lila Eyeshadow Palette,$129.00 ,
SUNDAY RILEY,https://www.sephora.com/product/multivitamins-set-P432053?icid2=products%20grid:p432053:product,Multivitamins Set,$28.00 ,Exclusive
stila,https://www.sephora.com/product/with-flying-colors-mini-stay-all-day-liquid-lipstick-set-P435963?icid2=products%20grid:p435963:product,With Flying Colors Mini Stay All Day Liquid Lipstick Set,$39.00 ,Limited Edition
Smashbox,https://www.sephora.com/product/holidaze-always-on-liquid-lip-mini-set-P437286?icid2=products%20grid:p437286:product,Holidaze: Always On Liquid Lip Mini Set,$29.00 ,Limited Edition
